Physical Index,Pin Name,BIO,SPI / QSPI Functions,I2C / UART / PWM,ADC
1,PC13,BIO29,QSPI1CS1,—,—
2,PC12,BIO28,QSPI1CS0,—,—
3,GND,—,—,—,—
4,PC11,BIO27,QSPI1CLK,—,—
5,PC10,BIO26,QSPI1D3,—,—
6,PC9,BIO25,QSPI1D2,—,—
7,PC8,BIO24,QSPI1D1,—,—
8,GND,—,—,—,—
9,PC7,BIO23,QSPI1D0,—,—
10,PC3,BIO19,SPI2CS0,PWM2.3,—
11,PC2,BIO18,SPI2D1,PWM2.2,—
12,PC1,BIO17,SPI2D0,PWM2.1,—
13,GND,—,—,—,—
14,PC0,BIO16,SPI2CLK,PWM2.0,—
15,PB14,BIO14,—,UART2TX,—
16,PB13,BIO13,—,UART2RX,—
17,PA4,—,—,—,ADC0
18,PA5,—,—,—,ADC1
19,PA6,—,—,—,ADC2
20,—,—,—,—,—
21,—,—,—,—,—
22,—,—,—,—,—
23,—,—,—,—,—
24,—,—,—,—,—
25,GND,—,—,—,—
26,PB12,BIO12,SPI2CS1,I2C0SDA,—
27,PB11,BIO11,SPI2CS0,I2C0SCL,—
28,GND,—,—,—,—
29,PB1,BIO1,—,PWM1.1,—
30,RUN,—,—,RST_N,—
31,PB2,BIO2,—,PWM1.2,—
32,PB3,BIO3,—,PWM1.3,—
33,GND,—,—,—,—
34,PB4,BIO4,—,—,—
35,PB5,BIO5,—,—,—
36,3V3,—,—,—,—
37,ON,—,—,EN,—
38,GND,—,—,—,—
39,VSYS,—,—,—,—
40,VBUS,—,—,—,—
